Finished,ResponseId,Discipline,WasThereUnderlyingDataInYourPaper,HasAnyoneUsedYourData,HowImportantYouThinkItWasToTheirWork,HowDidYouProvideUnderlyingData,ToOnlineDBOrDataRepo,Other,WhatReasonsThatWouldExplainWhyTheDataHasNotBeenUsed,OtherReasons,DidYouUseOtherAuthorData,HowImportantItwasToYourWorkToUseOtherDataSources,HowDidYouObtainThatData,FromOnlineDBOrDataRepo,OtherWay,WhyYouDiDNoTUseOtherData,ReasonNotUse
TRUE,R_cC3Umt8ZnKwHwfn,EART,Yes,No,,,,,"The data may not have addressed their specific research question (e.g., they may have needed to collect the data with their own experimental controls, conditions, instruments and/or materials, etc.),They may think it's important for their students' education to learn to collect their own data,We did not provide underlying data",,No,,,,,"Others' data did not address our specific research question (e.g. needed to collect the data with own experimental controls, conditions, instruments and/or materials, etc.),Our students collected the data",
TRUE,R_3PcaJ65Qc58kPgx,CHEM,Yes,No,,,,,"The data may not have addressed their specific research question (e.g., they may have needed to collect the data with their own experimental controls, conditions, instruments and/or materials, etc.),We did not provide underlying data",,No,,,,,"We are not confident about the quality of others‰Ûª data,Other (please specify)",We simply didn't consider using others' data.  It didn't occur to us to do this.
TRUE,R_1mICMck0nSOwtpF,CHEM,Yes,No,,,,,Other (please specify),Readers generally trust that the data was analyzed properly and almost universally wont go to the bother to re-analyze others data unless there is blaring discrepancies.,No,,,,,"Others' data did not address our specific research question (e.g. needed to collect the data with own experimental controls, conditions, instruments and/or materials, etc.)",
TRUE,R_cLPIgrckmCA4WLT,EART,Yes,No,,,,,"The data may not have addressed their specific research question (e.g., they may have needed to collect the data with their own experimental controls, conditions, instruments and/or materials, etc.)",,Yes,Not very important,Journal supplement,,,,
TRUE,R_VOTXdJZbi93ky9X,CHEM,Yes,No,,,,,"The data may not have addressed their specific research question (e.g., they may have needed to collect the data with their own experimental controls, conditions, instruments and/or materials, etc.),Other (please specify)","This paper established a ""first"" in this field and often it serves to give the discoverers the freedom to develop the work as their own. ",Yes,Somewhat important,Journal supplement,,,,
TRUE,R_3k7m6t8kVkT4iU4,PHYS,Yes,Yes,Very important,Journal supplement,,,,,Yes,Very important,"Online database or data repository, please specify:",icsd crystal structure library,,,
FALSE,R_2OUAi0dsXYZ44QP,CHEM,Yes,Yes,,,,,,,,,,,,,
TRUE,R_vV7PKGxpF2HVQ8V,PHYS,Yes,No,,,,,"The data may not have addressed their specific research question (e.g., they may have needed to collect the data with their own experimental controls, conditions, instruments and/or materials, etc.),They may think it's important for their students' education to learn to collect their own data,We did not provide underlying data",,Yes,Very important,"Online database or data repository, please specify:,Author's / project's website",arXiv.org,,,
FALSE,R_ROGLehIHEqkjxAZ,EART,Yes,No,,,,,Other (please specify),49,,,,,,,
TRUE,R_24MEuk7xpLeHgPo,PHYS,No,,,,,,,,,,,,,,
TRUE,R_3L8anVYzKZGw9Nw,PHYS,Yes,No,,,,,"The data may not have addressed their specific research question (e.g., they may have needed to collect the data with their own experimental controls, conditions, instruments and/or materials, etc.),They may think it's important for their students' education to learn to collect their own data,It may have been too complicated to use our data due to legal or IP restrictions (e.g., such as data use agreements, or classified or restricted access data)",,No,,,,,"Others' data did not address our specific research question (e.g. needed to collect the data with own experimental controls, conditions, instruments and/or materials, etc.),Our students collected the data",
TRUE,R_1pScf60f2hcS5K2,PHYS,Yes,No,,,,,Other (please specify),"You didn't give the most likely option -- that other people HAVE used it, without me knowing it.",No,,,,,"Others' data did not address our specific research question (e.g. needed to collect the data with own experimental controls, conditions, instruments and/or materials, etc.)",
TRUE,R_PHeUwNJtm5jvbrj,CHEM,No,,,,,,,,,,,,,,
TRUE,R_3QJl4GqYa3hqSmP,CHEM,Yes,No,,,,,"The data may not have addressed their specific research question (e.g., they may have needed to collect the data with their own experimental controls, conditions, instruments and/or materials, etc.),It may have been too complicated to use our data due to legal or IP restrictions (e.g., such as data use agreements, or classified or restricted access data),It may have been too difficult to understand or reformat our data",,No,,,,,"Others' data did not address our specific research question (e.g. needed to collect the data with own experimental controls, conditions, instruments and/or materials, etc.),We are not confident about the quality of others‰Ûª data",
TRUE,R_Xzx2T1VZLR39H0J,CHEM,Yes,No,,,,,Other (please specify),"our data are mass spectra. The spectra would not change upon use of our data by others, so there is no need to reuse the underlying data",No,,,,,Our students collected the data,
TRUE,R_1DINDJWhJZ4Aglx,CHEM,Yes,Yes,Extremely important,"Journal supplement,Author's / project's website,Via email",,,,,No,,,,,"Others' data did not address our specific research question (e.g. needed to collect the data with own experimental controls, conditions, instruments and/or materials, etc.)",
TRUE,R_1M0oybwscLN9XCy,CHEM,Yes,No,,,,,Other (please specify),"The data was used to draw conclusions and for others to re-use it wasn't necessary, I think.",Yes,Extremely important,"Online database or data repository, please specify:","This survey makes a wrong assumption. Data is used insofar as it refers to conclusions.  My paper used other peoples' conclusions, drawn from those other peoples' data, but I had no need for their raw data.",,,
TRUE,R_3ozMbiAdU3U8F71,PHYS,Yes,No,,,,,"The data may not have addressed their specific research question (e.g., they may have needed to collect the data with their own experimental controls, conditions, instruments and/or materials, etc.),It may have been too difficult to understand or reformat our data",,No,,,,,"Others' data did not address our specific research question (e.g. needed to collect the data with own experimental controls, conditions, instruments and/or materials, etc.),We are not confident about the quality of others‰Ûª data",
TRUE,R_3mkJYxkcF5Es9Yl,EART,No,,,,,,,,,,,,,,
TRUE,R_WoqG3CNDhRMQ87f,EART,Yes,No,,,,,"The data may not have addressed their specific research question (e.g., they may have needed to collect the data with their own experimental controls, conditions, instruments and/or materials, etc.)",,No,,,,,"Others' data did not address our specific research question (e.g. needed to collect the data with own experimental controls, conditions, instruments and/or materials, etc.)",
FALSE,R_3KuNr4N6Kg1WsbU,CHEM,Yes,,,,,,,,,,,,,,
