"ResponseId_B","Discipline","Q3_B_other_specify"
"R_1OZcurOnoILqQTe","MEDI","The article discussed trends in the use of [redacted] in a generic and global manner. The article in question was considered due to the number of citations at the time of the review."
"R_2y8hg2eAdD1jqsL","PHYS","The cited paper by [redacted] was cited to give a reference to prior knowledge in the filed that our paper advances."
"R_21AKfxvpPPeK74B","PHYS","The cited paper is a review article, not one reporting original research."
"R_RDZoXhue60l8tqh","MEDI","The cited paper was a review paper, not an orginal research article."
"R_1ojpaiei8NyR9rw","MEDI","The cited publication is a short review that contains valuable information in the specific field."
"R_324Qim76a5qgARj","MEDI","[redacted] was a review paper, there were no primary data"
"R_3nxvjrTvbXFCsD4","CHEM","The manuscript that was cited corresponded to a review article. We did not cite the paper because we took data from it. This work was cited because it would provide a context to the reader of our paper."
"R_3J7V4gWKKb1FD6K","CHEM","The paper in [redacted] is done by ourselves and not collaborate with [redacted]. So it is impossible to use data of others for publishing a paper. "
"R_339EPGuDGbSYpMj","ENVI","The paper is cited to emphasize the trend in [redacted]"
"R_2DXE17lzeRgfesl","COMP","The paper was a methods paper"
"R_3FX7NyxSphd0Ld2","BIOC","The paper was a review paper."
"R_2QR3mLBm5ah4Dlh","CHEM","The paper was cited as important background, but there was no need to include in this paper."
"R_27H9tjfa00MSF3C","BIOC","The paper was referenced only as a background material. The detailed data were not relevant to our study."
"R_1dgY2lbNFzoWFCl","MEDI","The paper we cited was a review paper and did not contain original data"
"R_We7HspehLTFS5JD","MATE","The reviewer insisted we should cite this paper. However, we have not used any data from it. "
"R_32X7sjYRiQ6oUGI","PHYS","The said [redacted] paper is a review article from theoretical point of view and there are no experimental data to be used."
"R_2qxY0zblTyZPizI","MEDI","The topic was similar to the topic, but the complexes were different enough that there as no need to reproduce any of the data"
"R_szhEYZaN9Y8KdZn","PHYS","The two papers were on a different subject. "
"R_3CO5uQA7kXu3HcC","PHYS","Theoretical paper, did not use data at all"
"R_1IblHziPz7LEeum","PHYS","There was no need to use data from this paper. "
"R_1hYHEbku3jcrtIl","PHYS","There was no need."
"R_1QE2ZLlmNiOFQqh","BIOC","there was no reason to reuse their data"
"R_b1ToGvAVq3b8AQF","CHEM","This was a subject area critical review"
"R_3HvQGJavfv3ZxQw","CHEM","This was cited as part of intro into the subject area"
"R_YQZuwwTSRokLdtv","CHEM","we accepted their conclusion without using their actual data"
"R_1rrfDdRenaCVdWF","MEDI","We already had collected data from a prior project"
"R_1jpI6OptuofYRAL","PHYS","We are reporting our own results."
"R_3dYNiDPBajbphD9","ENGI","We cited the work as a reference in the background statement, but we did not use any specific data in the paper to generate any plots in our own paper."
"R_22YsGJxWq6RzTlr","CHEM","We cited this paper in relation to their methodology, not their data."
"R_2YzAYfeFaQfBF34","MEDI","We cited this paper only to state the concept of [redacted]."
"R_ZEkuagOtiT3CDnj","PHYS","we did not address exactly teh same issiue"
"R_12LMpBKupRQ8QRX","MEDI","We did not consider to use any other data than our own, which had been designed to answer our research question"
"R_tXQtAkO0SIk4AE1","BIOC","We did not need to use the data. We quote the message of their paper to discuss our own data."
"R_2uNHtDPWc332MsN","BIOC","We don't have to use any data in our survey paper."
"R_2b3jdyPKTtfauZ7","BIOC","We generated our own data."
"R_2UfnmjS18rk8iuf","MATE","We just refereed to some qualitative information in the paper."
"R_3PSGIJdMajxXa3T","ENGI","we learnt from their research and then designed our own experiment on [redacted]"
"R_TwsjRslz1soEJSp","BIOC","We only cited the paper in the Introduction as a motivation to our work."
"R_2PtABQQXIJjxtCA","MEDI","we only needed the conclusion, not the real data"
"R_6xUG3EYxVTj2sZH","PHYS","We published our own data"
"R_22WVfl5mMe14hnE","ENGI","We referred the conclusion derived in the paper for supporting our data."
"R_eyBXP8XDfZvltoR","PHYS","we use the citation to point to a conclusion of the paper rather than using actual data from the paper"
"R_1pDNA2aXJZnxpDY","CHEM","We used the conclusions and scientific understanding, but not the specific data included in the paper"
"R_CjomwUyMVdaUanD","ENGI","We used the data for comparison"
"R_2OZOSkEgFsmDCBZ","CHEM","We voted this paper as it was foundational for our work, and we address to it, but did not reuse the dsta"
"R_1rxJpTAxsAAtFpZ","EART","We wrote a review paper on [redacted] not science paper about [redacted]"
"R_3efW3futMVksHv7","CHEM","wedid not ask for it"
